stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
shp_10-0-1,,stop shp_10-0-1,,15.593080,32.521912,,,,,,,
shp_102-0-0,,stop shp_102-0-0,,15.658256,32.466855,,,,,,,
shp_102-0-1,,stop shp_102-0-1,,15.725418,32.473658,,,,,,,
shp_109-0-1,,stop shp_109-0-1,,15.646346,32.477503,,,,,,,
shp_11-0-1,,stop shp_11-0-1,,15.593080,32.521912,,,,,,,
shp_111-0-0,,stop shp_111-0-0,,15.757817,32.525812,,,,,,,
shp_111-0-1,,stop shp_111-0-1,,15.646346,32.477503,,,,,,,
shp_113-0-0,,stop shp_113-0-0,,15.726407,32.517756,,,,,,,
shp_113-0-1,,stop shp_113-0-1,,15.646346,32.477503,,,,,,,
shp_115-0-1,,stop shp_115-0-1,,15.646346,32.477503,,,,,,,
shp_117-0-0,,stop shp_117-0-0,,15.646621,32.419589,,,,,,,
shp_117-0-1,,stop shp_117-0-1,,15.725130,32.476093,,,,,,,
shp_119-0-0,,stop shp_119-0-0,,15.658290,32.466910,,,,,,,
shp_119-0-1,,stop shp_119-0-1,,15.798985,32.432507,,,,,,,
shp_126-0-0,,stop shp_126-0-0,,15.646357,32.477465,,,,,,,
shp_126-0-1,,stop shp_126-0-1,,15.723551,32.516496,,,,,,,
shp_127-0-0,,stop shp_127-0-0,,15.594324,32.520440,,,,,,,
shp_127-0-1,,stop shp_127-0-1,,15.745001,32.522951,,,,,,,
shp_133-0-0,,stop shp_133-0-0,,15.647638,32.483658,,,,,,,
shp_133-0-1,,stop shp_133-0-1,,15.889689,32.520787,,,,,,,
shp_135-0-0,,stop shp_135-0-0,,15.647782,32.483701,,,,,,,
shp_135-0-1,,stop shp_135-0-1,,16.093403,32.527746,,,,,,,
shp_137-0-0,,stop shp_137-0-0,,15.647782,32.483701,,,,,,,
shp_137-0-1,,stop shp_137-0-1,,15.976799,32.537196,,,,,,,
shp_14-0-0,,stop shp_14-0-0,,15.624062,32.506017,,,,,,,
shp_14-0-1,,stop shp_14-0-1,,15.593080,32.521912,,,,,,,
shp_141-0-0,,stop shp_141-0-0,,15.648071,32.481525,,,,,,,
shp_141-0-1,,stop shp_141-0-1,,15.725418,32.473658,,,,,,,
shp_143-0-0,,stop shp_143-0-0,,15.647988,32.483957,,,,,,,
shp_143-0-1,,stop shp_143-0-1,,15.911745,32.527577,,,,,,,
shp_155-0-0,,stop shp_155-0-0,,15.746687,32.459168,,,,,,,
shp_155-0-1,,stop shp_155-0-1,,15.725331,32.473611,,,,,,,
shp_158-0-0,,stop shp_158-0-0,,15.728071,32.448506,,,,,,,
shp_158-0-1,,stop shp_158-0-1,,15.725230,32.474620,,,,,,,
shp_16-0-0,,stop shp_16-0-0,,15.563589,32.530166,,,,,,,
shp_16-0-1,,stop shp_16-0-1,,15.593044,32.521874,,,,,,,
shp_161-0-0,,stop shp_161-0-0,,15.725418,32.473657,,,,,,,
shp_161-0-1,,stop shp_161-0-1,,15.798985,32.432507,,,,,,,
shp_163-0-0,,stop shp_163-0-0,,15.725418,32.473657,,,,,,,
shp_163-0-1,,stop shp_163-0-1,,15.786885,32.391124,,,,,,,
shp_164-0-0,,stop shp_164-0-0,,15.741931,32.463162,,,,,,,
shp_164-0-1,,stop shp_164-0-1,,15.725421,32.473621,,,,,,,
shp_167-0-0,,stop shp_167-0-0,,15.766468,32.484873,,,,,,,
shp_167-0-1,,stop shp_167-0-1,,15.704413,32.476356,,,,,,,
shp_168-0-0,,stop shp_168-0-0,,15.786797,32.391142,,,,,,,
shp_168-0-1,,stop shp_168-0-1,,15.798985,32.432507,,,,,,,
shp_185-0-0,,stop shp_185-0-0,,15.647929,32.483767,,,,,,,
shp_185-0-1,,stop shp_185-0-1,,15.690410,32.502383,,,,,,,
shp_186-0-0,,stop shp_186-0-0,,15.729976,32.485269,,,,,,,
shp_19-0-0,,stop shp_19-0-0,,15.567753,32.526438,,,,,,,
shp_19-0-1,,stop shp_19-0-1,,15.520867,32.543676,,,,,,,
shp_193-0-0,,stop shp_193-0-0,,15.614628,32.409516,,,,,,,
shp_193-0-1,,stop shp_193-0-1,,15.595302,32.520615,,,,,,,
shp_197-0-0,,stop shp_197-0-0,,15.654229,32.465990,,,,,,,
shp_197-0-1,,stop shp_197-0-1,,15.547005,32.427077,,,,,,,
shp_199-0-0,,stop shp_199-0-0,,15.543458,32.423448,,,,,,,
shp_199-0-1,,stop shp_199-0-1,,15.584181,32.455280,,,,,,,
shp_20-0-0,,stop shp_20-0-0,,15.533670,32.568320,,,,,,,
shp_201-0-1,,stop shp_201-0-1,,15.584407,32.455360,,,,,,,
shp_203-0-1,,stop shp_203-0-1,,15.599741,32.438741,,,,,,,
shp_205-0-1,,stop shp_205-0-1,,15.547031,32.427142,,,,,,,
shp_211-0-0,,stop shp_211-0-0,,15.595085,32.520490,,,,,,,
shp_211-0-1,,stop shp_211-0-1,,15.599748,32.438729,,,,,,,
shp_213-0-0,,stop shp_213-0-0,,15.595303,32.520621,,,,,,,
shp_213-0-1,,stop shp_213-0-1,,15.584924,32.455718,,,,,,,
shp_215-0-0,,stop shp_215-0-0,,15.595303,32.520621,,,,,,,
shp_22-0-0,,stop shp_22-0-0,,15.646357,32.477465,,,,,,,
shp_22-0-1,,stop shp_22-0-1,,15.598689,32.516325,,,,,,,
shp_221-0-0,,stop shp_221-0-0,,15.654229,32.465990,,,,,,,
shp_221-0-1,,stop shp_221-0-1,,15.583522,32.454773,,,,,,,
shp_227-0-0,,stop shp_227-0-0,,15.646357,32.477465,,,,,,,
shp_241-0-0,,stop shp_241-0-0,,15.594324,32.520440,,,,,,,
shp_241-0-1,,stop shp_241-0-1,,15.624538,32.418698,,,,,,,
shp_245-0-0,,stop shp_245-0-0,,15.646121,32.476772,,,,,,,
shp_245-0-1,,stop shp_245-0-1,,15.656800,32.438420,,,,,,,
shp_247-0-0,,stop shp_247-0-0,,15.683388,32.441305,,,,,,,
shp_247-0-1,,stop shp_247-0-1,,15.646144,32.476785,,,,,,,
shp_249-0-0,,stop shp_249-0-0,,15.675399,32.437450,,,,,,,
shp_249-0-1,,stop shp_249-0-1,,15.646144,32.476785,,,,,,,
shp_251-0-0,,stop shp_251-0-0,,15.646121,32.476772,,,,,,,
shp_253-0-0,,stop shp_253-0-0,,15.646121,32.476772,,,,,,,
shp_253-0-1,,stop shp_253-0-1,,15.673011,32.437474,,,,,,,
shp_255-0-1,,stop shp_255-0-1,,15.628593,32.436117,,,,,,,
shp_257-0-1,,stop shp_257-0-1,,15.629885,32.444751,,,,,,,
shp_259-0-0,,stop shp_259-0-0,,15.654229,32.465990,,,,,,,
shp_259-0-1,,stop shp_259-0-1,,15.628568,32.436032,,,,,,,
shp_261-0-0,,stop shp_261-0-0,,15.683388,32.441305,,,,,,,
shp_263-0-0,,stop shp_263-0-0,,15.654229,32.465990,,,,,,,
shp_263-0-1,,stop shp_263-0-1,,15.647207,32.419067,,,,,,,
shp_265-0-0,,stop shp_265-0-0,,15.647148,32.419053,,,,,,,
shp_27-0-1,,stop shp_27-0-1,,15.658263,32.466891,,,,,,,
shp_271-0-0,,stop shp_271-0-0,,15.648475,32.335062,,,,,,,
shp_271-0-1,,stop shp_271-0-1,,15.647432,32.426175,,,,,,,
shp_273-0-0,,stop shp_273-0-0,,15.611263,32.418454,,,,,,,
shp_273-0-1,,stop shp_273-0-1,,15.647210,32.419084,,,,,,,
shp_277-0-1,,stop shp_277-0-1,,15.647207,32.419067,,,,,,,
shp_28-0-0,,stop shp_28-0-0,,15.594324,32.520440,,,,,,,
shp_28-0-1,,stop shp_28-0-1,,15.658266,32.466895,,,,,,,
shp_285-0-0,,stop shp_285-0-0,,15.594324,32.520440,,,,,,,
shp_285-0-1,,stop shp_285-0-1,,15.637798,32.436296,,,,,,,
shp_287-0-0,,stop shp_287-0-0,,15.543199,32.426150,,,,,,,
shp_287-0-1,,stop shp_287-0-1,,15.647159,32.419119,,,,,,,
shp_289-0-1,,stop shp_289-0-1,,15.641310,32.531185,,,,,,,
shp_295-0-1,,stop shp_295-0-1,,15.527544,32.542568,,,,,,,
shp_297-0-1,,stop shp_297-0-1,,15.557300,32.532001,,,,,,,
shp_30-0-1,,stop shp_30-0-1,,15.645389,32.488480,,,,,,,
shp_303-0-1,,stop shp_303-0-1,,15.623128,32.530504,,,,,,,
shp_305-0-0,,stop shp_305-0-0,,15.752017,32.571717,,,,,,,
shp_305-0-1,,stop shp_305-0-1,,15.623128,32.530504,,,,,,,
shp_307-0-1,,stop shp_307-0-1,,15.623143,32.530505,,,,,,,
shp_309-0-1,,stop shp_309-0-1,,15.623143,32.530505,,,,,,,
