trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
t-rkrt_10-weekend-07:00:00-1-0,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-1,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-2,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-3,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-4,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-5,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-6,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-7,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-8,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-9,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-10,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-11,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-12,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-13,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-14,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-15,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-16,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-17,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-18,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-19,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-20,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-21,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-22,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-23,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-24,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-25,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-26,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-27,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-28,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-29,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-30,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-31,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-32,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-33,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-34,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-35,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-36,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-37,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-38,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-39,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-40,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-41,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-42,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-43,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-44,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-45,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-46,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-47,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-48,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_10-weekend-07:00:00-1-49,rkrt_10,srv0000110,,,1,,shp_55-1,0,0
t-rkrt_13-weekend-07:00:00-0-0,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-1,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-2,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-3,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-4,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-5,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-6,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-7,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-8,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-9,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-10,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-11,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-12,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-13,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-14,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-15,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-16,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-17,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-18,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-19,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-20,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-21,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-22,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-23,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-24,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-25,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
t-rkrt_13-weekend-07:00:00-0-26,rkrt_13,srv0000110,,,0,,shp_60-0,0,0
