route_short_name,route_long_name,route_type,route_id
krt_01,krt_mahli,3,rkrt_01
krt_03,krt_rimila,3,rkrt_03
krt_04,krt_goz,3,rkrt_04
krt_10,krt_jabran,3,rkrt_10
krt_11,krt_jabras,3,rkrt_11
krt_12,krt_jabram,3,rkrt_12
krt_13,krt_jabrae,3,rkrt_13
krt_14,krt_oshara,3,rkrt_14
krt_16,krt_lamab,3,rkrt_16
krt_17,krt_burri_marrad,3,rkrt_17
krt_18,krt_burri_nus,3,rkrt_18
krt_20,krt_manshia,3,rkrt_20
krt_21,krt_tuti,3,rkrt_21
krt_23,krt_mayo,3,rkrt_23
krt_24,krt_soba_hilla,3,rkrt_24
krt_25,krt_soba_laaota,3,rkrt_25
krt_28,markazi_abuhamama,3,rkrt_28
krt_29,burri_markaz_islami,3,rkrt_29
krt_31,markazi_soba_hilla,3,rkrt_31
krt_32,markazi_soba_laaota,3,rkrt_32
krt_33,markazi_butri,3,rkrt_33
krt_34,markazi_thawra,3,rkrt_34
bhr_01,krt_shabyia,3,rbhr_01
bhr_02,krt_mazad,3,rbhr_02
bhr_03,krt_kadro,3,rbhr_03
bhr_04,krt_droshab,3,rbhr_04
bhr_05,bhr_myna_barri,3,rbhr_05
bhr_09,bhr_samrab_janob,3,rbhr_09
bhr_14,bhr_droshab_sharg,3,rbhr_14
bhr_15,bhr_droshab_janob,3,rbhr_15
bhr_17,bhr_om_elqura_janob,3,rbhr_17
bhr_18,bhr_om_elqura_shmal,3,rbhr_18
bhr_22,bhr_shabi_khartoum,3,rbhr_22
bhr_30,omar_mukhtar_khartoum,3,rbhr_30
bhr_31,omar_mukhtar_taybt_elahamada,3,rbhr_31
bhr_32,bhr_aloom_tayran,3,rbhr_32
bhr_33,bhr_shmbar_aradi_janob,3,rbhr_33
bhr_34,bhr_shmbar_aradi_shmal,3,rbhr_34
bhr_37,bhr_hlafaya,3,rbhr_37
bhr_38,bhr_taybt_elahamada,3,rbhr_38
SHR_01,SHR_01,3,rSHR_01
SHR_02,SHR_02,3,rSHR_02
SHR_04,SHR_04,3,rSHR_04
SHR_05,SHR_05,3,rSHR_05
SHR_06,SHR_06,3,rSHR_06
SHR_07,SHR_07,3,rSHR_07
SHR_09,SHR_09,3,rSHR_09
SHR_14,SHR_14,3,rSHR_14
SHR_15,SHR_15,3,rSHR_15
SHR_16,SHR_16,3,rSHR_16
SHR_26,SHR_26,3,rSHR_26
SHR_27,SHR_27,3,rSHR_27
SHR_31,SHR_31,3,rSHR_31
SHR_32,SHR_32,3,rSHR_32
SHR_35,SHR_35,3,rSHR_35
SHR_39,SHR_39,3,rSHR_39
SHR_41,SHR_41,3,rSHR_41
SHR_45,SHR_45,3,rSHR_45
SHR_49,SHR_49,3,rSHR_49
SHR_60,SHR_60,3,rSHR_60
SHR_71,SHR_71,3,rSHR_71
SHR_72,SHR_72,3,rSHR_72
SHR_74,SHR_74,3,rSHR_74
SHR_75,SHR_75,3,rSHR_75
SHR_76,SHR_76,3,rSHR_76
SHR_77,SHR_77,3,rSHR_77
SHR_82,SHR_82,3,rSHR_82
SHR_84,SHR_84,3,rSHR_84
SHR_85,SHR_85,3,rSHR_85
SHR_90,SHR_90,3,rSHR_90
