route_short_name,route_long_name,route_type,service_window_id,direction,frequency,shape_id
krt_01,krt_mahli,3,weekend,0,3,shp_4
krt_02,krt_markazi,3,weekend,0,3,shp_5
krt_03,krt_rimila,3,weekend,0,3,shp_45
krt_04,krt_goz,3,weekend,0,3,shp_47
krt_05,krt_arkaweet,3,weekend,0,3,shp_6
krt_06,krt_mamoura,3,weekend,0,3,shp_8
krt_07,krt_fardous,3,weekend,0,3,shp_10
krt_08,krt_jireefs,3,weekend,0,3,shp_11
krt_09,krt_jireefg,3,weekend,0,3,shp_376
krt_10,krt_jabran,3,weekend,0,3,shp_55
krt_11,krt_jabras,3,weekend,0,3,shp_56
krt_12,krt_jabram,3,weekend,0,3,shp_57
krt_13,krt_jabrae,3,weekend,0,3,shp_60
krt_14,krt_oshara,3,weekend,0,3,shp_49
krt_16,krt_lamab,3,weekend,0,3,shp_53
krt_17,krt_burri_marrad,3,weekend,0,3,shp_63
krt_18,krt_burri_nus,3,weekend,0,3,shp_64
krt_20,krt_manshia,3,weekend,0,3,shp_66
krt_21,krt_tuti,3,weekend,0,3,shp_14
krt_22,krt_mujahdeen,3,weekend,0,3,shp_68
krt_23,krt_mayo,3,weekend,0,3,shp_361
krt_24,krt_soba_hilla,3,weekend,0,3,shp_71
krt_25,krt_soba_laaota,3,weekend,0,3,shp_75
krt_26,krt_sagana_nus,3,weekend,0,3,shp_16
krt_28,markazi_abuhamama,3,weekend,0,3,shp_19
krt_29,burri_markaz_islami,3,weekend,0,3,shp_20
krt_30,jabra_fardous,3,weekend,0,3,shp_76
krt_31,markazi_soba_hilla,3,weekend,0,3,shp_79
krt_32,markazi_soba_laaota,3,weekend,0,3,shp_81
krt_33,markazi_butri,3,weekend,0,3,shp_375
krt_34,markazi_thawra,3,weekend,0,3,shp_371
krt_36,markazi_soba_east,3,weekend,0,3,shp_444
bhr_01,krt_shabyia,3,weekend,0,3,shp_289
bhr_02,krt_mazad,3,weekend,0,3,shp_291
bhr_03,krt_kadro,3,weekend,0,3,shp_293
bhr_04,krt_droshab,3,weekend,0,3,shp_335
bhr_05,bhr_myna_barri,3,weekend,0,3,shp_296
bhr_06,bhr_shabi_omdurman,3,weekend,0,3,shp_300
bhr_07,bhr_mahdawi,3,weekend,0,3,shp_330
bhr_09,bhr_samrab_janob,3,weekend,0,3,shp_340
bhr_13,bhr_dardog,3,weekend,0,3,shp_356
bhr_14,bhr_droshab_sharg,3,weekend,0,3,shp_328
bhr_15,bhr_droshab_janob,3,weekend,0,3,shp_354
bhr_16,bhr_droshab_shmal,3,weekend,0,3,shp_342
