route_short_name,route_long_name,route_type,route_id
krt_01,krt_mahli,3,rkrt_01
krt_02,krt_markazi,3,rkrt_02
krt_03,krt_rimila,3,rkrt_03
krt_04,krt_goz,3,rkrt_04
krt_05,krt_arkaweet,3,rkrt_05
krt_06,krt_mamoura,3,rkrt_06
krt_07,krt_fardous,3,rkrt_07
krt_08,krt_jireefs,3,rkrt_08
krt_09,krt_jireefg,3,rkrt_09
krt_10,krt_jabran,3,rkrt_10
krt_11,krt_jabras,3,rkrt_11
krt_12,krt_jabram,3,rkrt_12
krt_13,krt_jabrae,3,rkrt_13
krt_14,krt_oshara,3,rkrt_14
krt_16,krt_lamab,3,rkrt_16
krt_17,krt_burri_marrad,3,rkrt_17
krt_18,krt_burri_nus,3,rkrt_18
krt_20,krt_manshia,3,rkrt_20
krt_21,krt_tuti,3,rkrt_21
krt_22,krt_mujahdeen,3,rkrt_22
krt_23,krt_mayo,3,rkrt_23
krt_24,krt_soba_hilla,3,rkrt_24
krt_25,krt_soba_laaota,3,rkrt_25
krt_26,krt_sagana_nus,3,rkrt_26
krt_28,markazi_abuhamama,3,rkrt_28
krt_29,burri_markaz_islami,3,rkrt_29
krt_30,jabra_fardous,3,rkrt_30
krt_31,markazi_soba_hilla,3,rkrt_31
krt_32,markazi_soba_laaota,3,rkrt_32
krt_33,markazi_butri,3,rkrt_33
krt_34,markazi_thawra,3,rkrt_34
krt_36,markazi_soba_east,3,rkrt_36
bhr_01,krt_shabyia,3,rbhr_01
bhr_02,krt_mazad,3,rbhr_02
bhr_03,krt_kadro,3,rbhr_03
bhr_04,krt_droshab,3,rbhr_04
bhr_05,bhr_myna_barri,3,rbhr_05
bhr_06,bhr_shabi_omdurman,3,rbhr_06
bhr_07,bhr_mahdawi,3,rbhr_07
bhr_09,bhr_samrab_janob,3,rbhr_09
bhr_13,bhr_dardog,3,rbhr_13
bhr_14,bhr_droshab_sharg,3,rbhr_14
bhr_15,bhr_droshab_janob,3,rbhr_15
bhr_16,bhr_droshab_shmal,3,rbhr_16
bhr_17,bhr_om_elqura_janob,3,rbhr_17
bhr_18,bhr_om_elqura_shmal,3,rbhr_18
bhr_19,bhr_faki_hashim,3,rbhr_19
bhr_20,bhr_eljaili,3,rbhr_20
bhr_21,bhr_wawisi,3,rbhr_21
bhr_22,bhr_shabi_khartoum,3,rbhr_22
bhr_24,bhr_masfa,3,rbhr_24
bhr_25,bhr_garri,3,rbhr_25
bhr_26,bhr_dabak,3,rbhr_26
bhr_30,omar_mukhtar_khartoum,3,rbhr_30
bhr_31,omar_mukhtar_taybt_elahamada,3,rbhr_31
bhr_32,bhr_aloom_tayran,3,rbhr_32
bhr_33,bhr_shmbar_aradi_janob,3,rbhr_33
bhr_34,bhr_shmbar_aradi_shmal,3,rbhr_34
bhr_37,bhr_hlafaya,3,rbhr_37
bhr_38,bhr_taybt_elahamada,3,rbhr_38
bhr_39,bhr_nabtah,3,rbhr_39
SHR_01,SHR_01,3,rSHR_01
SHR_02,SHR_02,3,rSHR_02
SHR_03,SHR_03,3,rSHR_03
SHR_04,SHR_04,3,rSHR_04
SHR_05,SHR_05,3,rSHR_05
SHR_06,SHR_06,3,rSHR_06
SHR_07,SHR_07,3,rSHR_07
SHR_09,SHR_09,3,rSHR_09
SHR_14,SHR_14,3,rSHR_14
SHR_15,SHR_15,3,rSHR_15
SHR_16,SHR_16,3,rSHR_16
SHR_17,SHR_17,3,rSHR_17
SHR_23,SHR_23,3,rSHR_23
SHR_25,SHR_25,3,rSHR_25
SHR_26,SHR_26,3,rSHR_26
SHR_27,SHR_27,3,rSHR_27
SHR_31,SHR_31,3,rSHR_31
SHR_32,SHR_32,3,rSHR_32
SHR_35,SHR_35,3,rSHR_35
SHR_36,SHR_36,3,rSHR_36
SHR_39,SHR_39,3,rSHR_39
SHR_40,SHR_40,3,rSHR_40
SHR_41,SHR_41,3,rSHR_41
SHR_45,SHR_45,3,rSHR_45
SHR_49,SHR_49,3,rSHR_49
SHR_50,SHR_50,3,rSHR_50
SHR_53,SHR_53,3,rSHR_53
SHR_60,SHR_60,3,rSHR_60
SHR_67,SHR_67,3,rSHR_67
SHR_68,SHR_68,3,rSHR_68
SHR_69,SHR_69,3,rSHR_69
SHR_70,SHR_70,3,rSHR_70
SHR_71,SHR_71,3,rSHR_71
SHR_72,SHR_72,3,rSHR_72
SHR_73,SHR_73,3,rSHR_73
SHR_74,SHR_74,3,rSHR_74
SHR_75,SHR_75,3,rSHR_75
SHR_76,SHR_76,3,rSHR_76
