route_short_name,route_long_name,route_type,service_window_id,direction,frequency,shape_id
krt_01,krt_mahli,3,3,0,3,4
krt_02,krt_markazi,3,3,0,3,5
krt_03,krt_rimila,3,3,0,3,45
krt_04,krt_goz,3,3,0,3,47
krt_05,krt_arkaweet,3,3,0,3,6
krt_06,krt_mamoura,3,3,0,3,8
krt_07,krt_fardous,3,3,0,3,10
krt_08,krt_jireefs,3,3,0,3,11
krt_09,krt_jireefg,3,3,0,3,376
krt_10,krt_jabran,3,3,0,3,55
krt_11,krt_jabras,3,3,0,3,56
krt_12,krt_jabram,3,3,0,3,57
krt_13,krt_jabrae,3,3,0,3,60
krt_14,krt_oshara,3,3,0,3,49
krt_15,krt_ozozab,3,3,0,3,51
krt_16,krt_lamab,3,3,0,3,53
krt_17,krt_burri_marrad,3,3,0,3,63
krt_18,krt_burri_nus,3,3,0,3,64
krt_19,krt_nasir,3,3,0,3,
krt_20,krt_manshia,3,3,0,3,66
krt_21,krt_tuti,3,3,0,3,14
krt_22,krt_mujahdeen,3,3,0,3,68
krt_23,krt_mayo,3,3,0,3,361
krt_24,krt_soba_hilla,3,3,0,3,71
krt_25,krt_soba_laaota,3,3,0,3,75
krt_26,krt_sagana_nus,3,3,0,3,16
krt_27,krt_alti,3,3,0,3,
krt_28,markazi_abuhamama,3,3,0,3,19
krt_29,burri_markaz_islami,3,3,0,3,20
krt_30,jabra_fardous,3,3,0,3,76
krt_31,markazi_soba_hilla,3,3,0,3,79
krt_32,markazi_soba_laaota,3,3,0,3,81
krt_33,markazi_butri,3,3,0,3,375
krt_34,markazi_thawra,3,3,0,3,371
krt_35,markazi_soba_hosptial,3,3,0,3,
krt_36,markazi_soba_east,3,3,0,3,444
krt_37,krt_sabrin,3,3,0,3,86
krt_38,krt_dbaasin,3,3,0,3,
krt_39,burri_national_collage,3,3,0,3,
krt_40,krt_tayif,3,3,0,3,
krt_41,markazi_jamhour,3,3,0,3,
bhr_01,krt_shabyia,3,3,0,3,289
bhr_02,krt_mazad,3,3,0,3,291
bhr_03,krt_kadro,3,3,0,3,293
bhr_04,krt_droshab,3,3,0,3,335
bhr_05,bhr_myna_barri,3,3,0,3,296
bhr_06,bhr_shabi_omdurman,3,3,0,3,300
bhr_07,bhr_mahdawi,3,3,0,3,330
bhr_08,bhr_samrab_sharg,3,3,0,3,
bhr_09,bhr_samrab_janob,3,3,0,3,340
bhr_10,bhr_samrab_shmal,3,3,0,3,
bhr_11,samrab_sharg_dardog,3,3,0,3,
bhr_12,samrab_sharg_elshilaab,3,3,0,3,
bhr_13,bhr_dardog,3,3,0,3,356
bhr_14,bhr_droshab_sharg,3,3,0,3,328
bhr_15,bhr_droshab_janob,3,3,0,3,354
bhr_16,bhr_droshab_shmal,3,3,0,3,342
bhr_17,bhr_om_elqura_janob,3,3,0,3,306
bhr_18,bhr_om_elqura_shmal,3,3,0,3,304
bhr_19,bhr_faki_hashim,3,3,0,3,308
bhr_20,bhr_eljaili,3,3,0,3,310
bhr_21,bhr_wawisi,3,3,0,3,312
bhr_22,bhr_shabi_khartoum,3,3,0,3,298
bhr_23,bhr_wad_ramli,3,3,0,3,
bhr_24,bhr_masfa,3,3,0,3,322
bhr_25,bhr_garri,3,3,0,3,316
bhr_26,bhr_dabak,3,3,0,3,319
bhr_27,markazi_shmbat_markazi_khartoum,3,3,0,3,
bhr_28,markazi_shmbat_haj_yousof_wihda,3,3,0,3,
bhr_29,markazi_shmbat_shabi_omdurman,3,3,0,3,
bhr_30,omar_mukhtar_khartoum,3,3,0,3,337
bhr_31,omar_mukhtar_taybt_elahamada,3,3,0,3,350
bhr_32,bhr_aloom_tayran,3,3,0,3,334
bhr_33,bhr_shmbar_aradi_janob,3,3,0,3,344
bhr_34,bhr_shmbar_aradi_shmal,3,3,0,3,346
bhr_35,mazlat_klya,3,3,0,3,
bhr_36,bhr_omar_mukhtar,3,3,0,3,
bhr_37,bhr_hlafaya,3,3,0,3,317
bhr_38,bhr_taybt_elahamada,3,3,0,3,349
bhr_39,bhr_nabtah,3,3,0,3,348
bhr_40,krt_kafouri,3,3,0,3,
bhr_41,bhr_kafouri_zaeem_azahri,3,3,0,3,
bhr_42,markazi_khartoum_kadro,3,3,0,3,
bhr_43,kubri_hlafaya_sabrin,3,3,0,3,
bhr_44,kubri_hlafaya_elwadi,3,3,0,3,
bhr_45,kubri_hlafaya_jarrafa,3,3,0,3,
bhr_46,dardog_sharg_elklishab,3,3,0,3,
bhr_47,om_elqura_janob_smarah,3,3,0,3,
bhr_48,hlafaya_iskan,3,3,0,3,
bhr_49,bhr_zakyaib,3,3,0,3,
SHR_01,,3,3,0,3,447
SHR_02,,3,3,0,3,450
SHR_03,,3,3,0,3,448
SHR_04,,3,3,0,3,449
SHR_05,,3,3,0,3,451
SHR_06,,3,3,0,3,581
SHR_07,,3,3,0,3,445
SHR_08,,3,3,0,3,
SHR_09,,3,3,0,3,446
SHR_10,,3,3,0,3,
SHR_11,,3,3,0,3,
SHR_12,,3,3,0,3,
SHR_13,,3,3,0,3,
SHR_14,,3,3,0,3,453
SHR_15,,3,3,0,3,550
SHR_16,,3,3,0,3,576
SHR_17,,3,3,0,3,592
SHR_18,,3,3,0,3,
SHR_19,,3,3,0,3,
SHR_20,,3,3,0,3,
SHR_21,,3,3,0,3,
SHR_22,,3,3,0,3,
SHR_23,,3,3,0,3,455
SHR_24,,3,3,0,3,
SHR_25,,3,3,0,3,454
SHR_26,,3,3,0,3,456
SHR_27,,3,3,0,3,586
SHR_28,,3,3,0,3,
SHR_29,,3,3,0,3,
SHR_30,,3,3,0,3,
SHR_31,,3,3,0,3,458
SHR_32,,3,3,0,3,587
SHR_33,,3,3,0,3,
SHR_34,,3,3,0,3,
SHR_35,,3,3,0,3,551
SHR_36,,3,3,0,3,593
SHR_37,,3,3,0,3,
SHR_38,,3,3,0,3,
SHR_39,,3,3,0,3,459
SHR_40,,3,3,0,3,583
SHR_41,,3,3,0,3,582
SHR_42,,3,3,0,3,
SHR_43,,3,3,0,3,
SHR_44,,3,3,0,3,
SHR_45,,3,3,0,3,484
SHR_46,,3,3,0,3,
SHR_47,,3,3,0,3,
SHR_48,,3,3,0,3,
