stop_id,stop_name,stop_lon,stop_lat
shp_10-0-0,stop shp_10-0-0,32.58,15.56
shp_10-0-1,stop shp_10-0-1,32.52,15.59
shp_100-0-0,stop shp_100-0-0,32.49,15.72
shp_100-0-1,stop shp_100-0-1,32.47,15.66
shp_102-0-1,stop shp_102-0-1,32.47,15.72
shp_11-0-0,stop shp_11-0-0,32.6,15.55
shp_110-0-0,stop shp_110-0-0,32.53,15.78
shp_110-0-1,stop shp_110-0-1,32.48,15.65
shp_112-0-0,stop shp_112-0-0,32.53,15.76
shp_114-0-0,stop shp_114-0-0,32.52,15.73
shp_116-0-0,stop shp_116-0-0,32.52,15.71
shp_118-0-0,stop shp_118-0-0,32.42,15.65
shp_118-0-1,stop shp_118-0-1,32.48,15.72
shp_120-0-1,stop shp_120-0-1,32.43,15.8
shp_128-0-1,stop shp_128-0-1,32.52,15.72
shp_129-0-1,stop shp_129-0-1,32.52,15.74
shp_134-0-1,stop shp_134-0-1,32.52,15.89
shp_136-0-1,stop shp_136-0-1,32.53,16.09
shp_138-0-1,stop shp_138-0-1,32.54,15.98
shp_14-0-0,stop shp_14-0-0,32.51,15.62
shp_144-0-1,stop shp_144-0-1,32.53,15.91
shp_155-0-0,stop shp_155-0-0,32.46,15.75
shp_16-0-0,stop shp_16-0-0,32.53,15.56
shp_163-0-1,stop shp_163-0-1,32.39,15.79
shp_166-0-0,stop shp_166-0-0,32.46,15.74
shp_167-0-0,stop shp_167-0-0,32.48,15.77
shp_167-0-1,stop shp_167-0-1,32.48,15.7
shp_187-0-1,stop shp_187-0-1,32.5,15.69
shp_188-0-0,stop shp_188-0-0,32.48,15.73
shp_19-0-0,stop shp_19-0-0,32.53,15.57
shp_19-0-1,stop shp_19-0-1,32.54,15.52
shp_198-0-0,stop shp_198-0-0,32.47,15.65
shp_198-0-1,stop shp_198-0-1,32.43,15.55
shp_20-0-0,stop shp_20-0-0,32.57,15.53
shp_20-0-1,stop shp_20-0-1,32.56,15.6
shp_200-0-0,stop shp_200-0-0,32.42,15.54
shp_200-0-1,stop shp_200-0-1,32.46,15.58
shp_212-0-0,stop shp_212-0-0,32.52,15.6
shp_216-0-1,stop shp_216-0-1,32.45,15.59
shp_240-0-0,stop shp_240-0-0,32.41,15.62
shp_242-0-1,stop shp_242-0-1,32.42,15.62
shp_246-0-1,stop shp_246-0-1,32.44,15.66
shp_248-0-0,stop shp_248-0-0,32.44,15.68
shp_254-0-1,stop shp_254-0-1,32.44,15.67
shp_256-0-1,stop shp_256-0-1,32.44,15.63
shp_272-0-0,stop shp_272-0-0,32.33,15.58
shp_272-0-1,stop shp_272-0-1,32.43,15.65
shp_274-0-0,stop shp_274-0-0,32.42,15.61
shp_286-0-1,stop shp_286-0-1,32.44,15.64
shp_288-0-0,stop shp_288-0-0,32.43,15.54
shp_289-0-1,stop shp_289-0-1,32.53,15.64
shp_291-0-1,stop shp_291-0-1,32.54,15.65
shp_293-0-1,stop shp_293-0-1,32.57,15.77
shp_296-0-0,stop shp_296-0-0,32.53,15.62
shp_296-0-1,stop shp_296-0-1,32.54,15.53
